time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
6074.0,0.13779386901739274,-0.641122407422563,1.7404208145379583,-1.0992984130650303,-3.0037987845724,-5.949635038439703e-09,-0.7207913324891971,-0.17326383790087652,-0.07882136802238347,-1.993820331557798e-11,0.7071067814754826,0.7071067808976125,1.9938415940145083e-11
6075.0,0.13763466658189816,-0.6405182785503345,1.738682876430278,-1.0981646038360349,-3.0039579870078947,-5.956091461384401e-09,-0.7216249846801445,-0.1732586997612705,-0.07882268083041273,-1.9913798672032705e-11,0.707106781475464,0.707106780897631,1.991402292064728e-11
6076.0,0.13747546414640358,-0.6399141496781061,1.7369449383225977,-1.0970307946070395,-3.0041171894433893,-5.962547884329099e-09,-0.7224581443285006,-0.17325323246757718,-0.07882347207037856,-1.9889386193862976e-11,0.7071067814754447,0.7071067808976503,1.9889554890087527e-11
6077.0,0.13731626171090897,-0.6393100208058776,1.7352070002149176,-1.095896985378044,-3.004276391878884,-5.969004307273796e-09,-0.7232908105240461,-0.1732474361448889,-0.0788237420142156,-1.986493652153303e-11,0.7071067814754248,0.7071067808976703,1.9865173684621553e-11
6078.0,0.13715705927541438,-0.6387058919336492,1.7334690621072373,-1.0947631761490486,-3.004435594314378,-5.9754607302184945e-09,-0.7241229823570566,-0.17324131091890915,-0.07882349093465062,-1.9840244372200477e-11,0.707106781475404,0.707106780897691,1.9840797409335623e-11
6079.0,0.1369978568399198,-0.6381017630614207,1.731731123999557,-1.0936293669200534,-3.0045947967498727,-5.981917153163192e-09,-0.7249546589183075,-0.17323485691595186,-0.07882271910520355,-1.9815652207217803e-11,0.7071067814753825,0.7071067808977124,1.9816134682091285e-11
6080.0,0.13683865440442522,-0.6374976341891923,1.729993185891877,-1.092495557691058,-3.0047539991853673,-5.98837357610789e-09,-0.7257858392990717,-0.17322807426294118,-0.07882142680018599,-1.9791108760448692e-11,0.7071067814753603,0.7071067808977346,1.9791565912237358e-11
6081.0,0.13667945196893064,-0.6368935053169639,1.7282552477841966,-1.0913617484620626,-3.004913201620862,-5.9948299990525875e-09,-0.7266165225911236,-0.17322096308741153,-0.07881961429470134,-1.9766466285647278e-11,0.7071067814753375,0.7071067808977575,1.9766882177437802e-11
6082.0,0.13652024953343603,-0.6362893764447354,1.7265173096765163,-1.0902279392330674,-3.0050724040563566,-6.001286421997286e-09,-0.7274467078867386,-0.1732135235175068,-0.07881728186464376,-1.9741683214634783e-11,0.7071067814753139,0.7071067808977811,1.9742113864607972e-11
6083.0,0.13636104709794145,-0.635685247572507,1.7247793715688362,-1.089094130004072,-3.005231606491851,-6.007742844941984e-09,-0.7282763942786951,-0.17320575568198077,-0.07881442978669848,-1.971692487175591e-11,0.7071067814752895,0.7071067808978054,1.971740696717086e-11
