time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z
1227.0,-1.238340375334181,-2.756155453638464,-2.1673884027628434,2.088979162319492,1.2528242030290153,3.042780665788996,-0.0051300973514450815,1.0027031131393809,0.11118838064559039
1228.0,-1.2382037274214737,-2.755285997420818,-2.168621321768762,2.0875183830802135,1.252521327299721,3.0433121475345,-0.005130100225553399,1.0026478835442554,0.11137325833512723
1229.0,-1.2380677685269281,-2.754414503683003,-2.1698526804504823,2.086053593989444,1.2522199627359114,3.0438447075171875,-0.0051301030949956064,1.00259297832784,0.11155823261841163
1230.0,-1.2379325009315683,-2.753540966151671,-2.1710824729559173,2.084584784085985,1.2519201146106724,3.044378341379883,-0.005130105959762874,1.00253839765907,0.11174330292630269
1231.0,-1.2377979269082975,-2.752665378547294,-2.172310693404813,2.083111942393997,1.2516217881797074,3.0449130447317296,-0.005130108819846387,1.0024841417058834,0.11192846868936401
1232.0,-1.2376640487218087,-2.7517877345843877,-2.173537335888672,2.081635057923148,1.251324988681114,3.0454488131482313,-0.005130111675237346,1.002430210635218,0.11211372933786552
1233.0,-1.2375308686284952,-2.750908027971748,-2.1747623944706627,2.080154119668756,1.2510297213351647,3.045985642171298,-0.005130114525926965,1.002376604613013,0.11229908430178517
1234.0,-1.2373983888763629,-2.7500262524126864,-2.175985863185536,2.078669116611944,1.250735991344086,3.0465235273092937,-0.0051301173719064735,1.0023233238042062,0.11248453301081075
1235.0,-1.2372666117049418,-2.7491424016052726,-2.177207736039543,2.0771800377197946,1.2504438038918386,3.0470624640370882,-0.0051301202131671135,1.0022703683727356,0.11267007489434158
1236.0,-1.2371355393451964,-2.748256469242578,-2.1784280070103494,2.0756868719455057,1.2501531641438968,3.0476024477961046,-0.005130123049700144,1.0022177384815385,0.11285570938149031
1237.0,-1.2370051740194383,-2.747368449012925,-2.179646670046958,2.0741896082285507,1.2498640772470275,3.0481434739943767,-0.005130125881496837,1.0021654342925495,0.11304143590108466
1238.0,-1.2368755179412378,-2.7464783346001376,-2.1808637190696234,2.0726882354948444,1.2495765483290728,3.048685538006606,-0.005130128708548479,1.0021134559667013,0.11322725388166917
1239.0,-1.2367465733153358,-2.7455861196838,-2.1820791479697745,2.071182742656909,1.2492905824987275,3.0492286351742157,-0.005130131530846372,1.0020618036639248,0.11341316275150695
1240.0,-1.2366183423375547,-2.7446917979395153,-2.1832929506099377,2.069673118614044,1.2490061848453209,3.049772760805417,-0.005130134348381831,1.0020104775431469,0.11359916193858154
