time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
1382.0,1.4394156582677795,-0.9286935943837025,1.2163153207480968,-1.6853641687360286,-1.5935448278467859,-0.12940006222531994,-0.01962203159928322,1.3190040588378906,0.3100791871547699,0.9961949107386113,-3.595302480219824e-06,-4.088740456053781e-07,0.08715331207359156
1383.0,1.438070452187589,-0.9336845788637259,1.224031122882973,-1.6881176761857697,-1.5937765474020773,-0.1307249146782951,-0.01828853413462639,1.315046787261963,0.31074830889701843,0.9961948307484628,-3.895923581345842e-06,-3.957538354113114e-07,0.08715422637317487
1384.0,1.4501608309778928,-0.9315922021532721,1.2206874154935075,-1.6866072862649995,-1.5916960609971798,-0.11882875239149948,-0.03479568287730217,1.3164163827896118,0.3105069398880005,0.9961949158519641,4.2415354874857815e-06,2.5854641880041186e-07,0.08715325359756053
1385.0,1.4467981396455922,-0.9398118619184823,1.2370946758860235,-1.6948687483141043,-1.5922743886501174,-0.12213702307159033,-0.031060831621289253,1.3091574907302856,0.30901020765304565,0.9961950980214417,1.8270269466014065e-06,1.039168336271047e-07,0.08715117139029994
1386.0,1.4451167939794418,-0.9439216918010873,1.2452983060822818,-1.6989994793386567,-1.5925635524765862,-0.12379115841163575,-0.029215585440397263,1.3054945468902588,0.3082498013973236,0.9961951684095197,5.0326860464295e-07,2.66036151267911e-09,0.08715036682237987
1387.0,1.4434354483132914,-0.9480315216836924,1.2535019362785398,-1.703130210363209,-1.592852716303055,-0.12544529375168118,-0.027385395020246506,1.3018083572387695,0.3074805736541748,0.9961951784087459,-7.036824468206158e-07,-1.5984801444592678e-07,0.08715025252198712
1388.0,1.4417541026471412,-0.9521413515662975,1.2617055664747978,-1.7072609413877615,-1.5931418801295238,-0.12709942909172658,-0.025570284575223923,1.2980999946594238,0.30670371651649475,0.9961951881467246,-2.021464395791922e-06,-2.780930128732188e-07,0.08715014118834474
1389.0,1.4400727569809908,-0.9562511814489026,1.2699091966710558,-1.7113916724123142,-1.5934310439559927,-0.12875356443177202,-0.02377033606171608,1.2943693399429321,0.30591872334480286,0.9961951781046807,-3.2427996447230676e-06,-4.035714449936e-07,0.08715025593941036
1390.0,1.4383914113148406,-0.9603610113315078,1.2781128268673139,-1.7155224034368666,-1.5937202077824615,-0.13040769977181743,-0.021985627710819244,1.2906162738800049,0.3051253855228424,0.9961951372321421,-4.467568483037612e-06,-4.429532592666996e-07,0.08715072308867035
1391.0,1.4367100656486902,-0.9644708412141129,1.286316457063572,-1.719653134461419,-1.5940093716089303,-0.13206183511186287,-0.020216330885887146,1.286841630935669,0.30432435870170593,0.9961950849606761,-5.806920012991692e-06,-5.536726902964523e-07,0.08715132050728984
1392.0,1.4350287199825398,-0.9685806710967179,1.2945200872598301,-1.7237838654859714,-1.5942985354353991,-0.13371597045190828,-0.018462497740983963,1.2830449342727661,0.30351489782333374,0.9961950192019364,-7.0535610493891474e-06,-6.675116749317235e-07,0.08715207207551144
1393.0,1.4333473743163896,-0.972690500979323,1.3027237174560882,-1.7279145965105238,-1.594587699261868,-0.13537010579195372,-0.01672421209514141,1.2792259454727173,0.3026972711086273,0.9961949087919856,-8.308109602070645e-06,-8.15281237665039e-07,0.08715333399955512
1394.0,1.4316660286502392,-0.9768003308619281,1.3109273476523462,-1.7320453275350762,-1.5948768630883368,-0.13702424113199912,-0.015001485124230385,1.2753852605819702,0.3018718957901001,0.9961947921379811,-9.655305586002103e-06,-8.420277172541939e-07,0.08715466724869354
1395.0,1.4259894038722167,-0.9859667234461237,1.324563454158425,-1.7366538248802315,-1.5958527688130624,-0.14261806874260574,-0.008481215685606003,1.2678896188735962,0.30321115255355835,0.9961948513407011,-9.67011060829702e-06,-1.00643762420004e-06,0.08715399054406342
